wavelength_nm,irradiance_W_m2_nm,standard_uncertainty_W_m2_nm
480,2.1587899659501315,0.0064763701520860195
490,2.1520164323547006,0.006456049624830484
500,2.185974015820813,0.006557921878993511
520,2.0897567498657583,0.006269270554184914
540,2.024054403116798,0.0060721635818481445
550,1.9873728798657417,0.005962118972092867
570,1.7013367235743762,0.005104010459035635
580,1.8883073909387826,0.005664922297000885
590,1.8385964139949678,0.0055157896131277084
600,1.808398896464896,0.005425197072327137
650,1.6166965763532042,0.004850090015679598
700,1.4482250217809916,0.004344675224274397
750,1.2901371076858879,0.003870411543175578
800,1.1410126688728452,0.0034230381716042757
