E_keV,charge_shape_m1000,magnetic_shape_m1000
5.4,413.4293230655853,3.4178541226432664
5.565375,397.8250510400416,3.3906548247143977
5.7307500000000005,383.1449906288737,3.3636463838135473
5.8961250000000005,369.31122422218016,3.3368276054283386
6.0615000000000006,356.2543383401767,3.310197301812529
6.226875000000001,343.9122943538172,3.2837542919508813
6.392250000000001,332.22947450012384,3.2574974015241844
6.557625000000001,321.15587224725346,3.231425462874454
6.723000000000001,310.64640215389886,3.2055373149703055
6.888375000000001,300.66030914141686,3.179831803372478
7.053750000000001,291.1606608635833,3.1543077801995407
7.219125000000001,282.11390984882775,3.128964104093747
7.384500000000001,273.4895144771228,3.103799640187083
7.549875,265.25960977039045,3.0788132600674385
7.715250000000001,257.3987205222182,3.0540038417449833
7.880625,249.88351054744933,3.0293702696186684
8.046000000000001,242.6925628548689,3.0049114344429166
8.211375,235.80618638350407,2.9806262332944624
8.376750000000001,229.2062456315786,2.956513569539351
8.542125,222.87601007572016,2.932572352800103
8.707500000000001,216.80002074938864,2.908801498923025
8.872875,210.96397174180225,2.8851999299457027
9.038250000000001,205.35460470632947,2.861766574064618
9.203625,199.95961474203065,2.8385003656029575
9.369,194.7675662430891,2.815400244978549
9.534375,189.76781750587452,2.792465158671964
9.699750000000002,184.95045304844933,2.7696940591947863
9.865125,180.30622273750072,2.747085905058004
10.0305,175.8264869370493,2.7246396607405976
10.195875000000001,171.50316699523142,2.702354296658233
10.361250000000002,167.32870047275046,2.6802287891321437
10.526625000000001,163.29600059155052,2.6582621203581507
10.692,159.39841944678872,2.636453278375826
10.857375000000001,155.6297145808578,2.6148012570378114
11.022750000000002,151.9840185663737,2.593305055979292
11.188125000000001,148.4558112867906,2.5719636805876136
11.3535,145.03989463959033,2.5507761419720394
11.518875000000001,141.73136941858033,2.5297414569336683
11.684250000000002,138.52561415940536,2.5088586479354866
11.849625000000001,135.41826575647784,2.488126743072579
12.015,132.40520168065672,2.4675447760424745
12.180375000000002,129.48252364553696,2.4471117861156246
12.345750000000002,126.64654258651942,2.426826818106069
12.511125000000002,123.89376483119113,2.406688922342183
12.6765,121.2208793522255,2.3866971546376217
12.841875000000002,118.62474600521924,2.3668505762623697
13.007250000000003,116.10238466380815,2.3471482539139576
13.172625000000002,113.65096517320703,2.327589259688793
13.338000000000001,111.26779805114266,2.3081726710536574
13.503375000000002,108.95032587210571,2.2888975708173223
13.668750000000001,106.6961152770514,2.2697630471023142
13.834125000000002,104.50284955621096,2.250768193316813
13.999500000000001,102.3683217576239,2.231912108126694
14.164875000000002,100.29042827842588,2.213193895427695
14.330250000000001,98.26716289989463,2.1946126643177344
14.495625000000002,96.29661123081488,2.176167529069346
14.661000000000001,94.37694552692214,2.1578576091022716
14.826375000000002,92.50641985706082,2.1396820289561655
14.991750000000001,90.68336558928472,2.12163991826345
15.157125000000002,88.9061871724643,2.10373041172229
15.322500000000002,87.17335819107444,2.085952649069708
15.487875000000003,85.48341767274503,2.06830577505483
15.653250000000002,83.8349666298802,2.050788939412266
15.818625000000003,82.22666481821777,2.033401296835606
15.984000000000002,80.657227696617,2.016142006951064
16.149375,79.12542357364946,1.9990102342912448
16.314750000000004,77.63007092773913,1.9820051482690348
16.480125,76.17003588866055,1.9651259231516258
16.645500000000002,74.74422986917274,1.9483717380346695
16.810875000000003,73.35160733645125,1.931741776816544
16.97625,71.99116371378464,1.915235228172771
17.141625,70.66193340373825,1.8988512855305366
17.307000000000002,69.36298792466083,1.8825891470433485
17.472375,68.09343415302466,1.8664480155658176
17.637750000000004,66.85241266465209,1.8504270986285578
17.803125,65.63909616839965,1.834525608413215
17.968500000000002,64.4526880263421,1.818742761727618
18.133875000000003,63.29242085493527,1.8030777799810522
18.29925,62.157555202034075,1.7875298891596472
18.464625,61.04737829501068,1.7720983198019031
18.630000000000003,59.9612028555544,1.7567823069743174
18.795375,58.89836597704651,1.7415810902471451
18.960750000000004,57.85822806068922,1.7264939136702793
19.126125000000002,56.84017180683322,1.711520025749239
19.291500000000003,55.84360125819051,1.6966586794212852
19.456875000000004,54.86794089184675,1.6819091320316564
19.62225,53.912634757192926,1.6672706453099155
19.787625000000002,52.97714565709064,1.6527424853464132
19.953000000000003,52.060954369762534,1.6383239225688746
20.118375,51.163558909064456,1.6240142317190962
20.283750000000005,50.28447382094852,1.609812691829756
20.449125000000002,49.42322951406908,1.5957185862013499
20.614500000000003,48.57937162261321,1.581731202379224
20.779875000000004,47.752460399561485,1.5678498321307428
20.94525,46.942070138696394,1.554073771422546
21.110625000000002,46.14778862378239,1.5404023203979402
21.276000000000003,45.369216603439135,1.5268347833543885
21.441375,44.60596729032053,1.5133704687211191
21.606750000000005,43.857665883297315,1.50000868903684
21.772125000000003,43.12394911142046,1.4867487609275682
21.9375,42.40446479851534,1.4735900050845663
22.102875000000004,41.69887144732683,1.4605317462423901
22.268250000000002,41.00683784219844,1.4475733131570467
22.433625,40.328042669329264,1.4347140385842578
22.599000000000004,39.66217415370829,1.4219532592578301
22.764375,39.00892971187811,1.409290315868141
22.929750000000006,38.36801561972841,1.396724553040724
23.095125000000003,37.7391466945665,1.3842553193149627
23.2605,37.12204599075364,1.371881967122889
23.425875000000005,36.5164445082375,1.3596038527680945
23.591250000000002,35.922080913347195,1.3474203364047355
23.756625,35.33870127125386,1.3353307820166518
23.922000000000004,34.76605878953208,1.3233345573965858
24.087375,34.20391357228848,1.3114310341255064
