mass_GeV,delta_keV,recoil_keV,raw_counts_per_keV_in_2p84_tonne_year
1440.0,380.38780826624486,5.4,0.0
1440.0,380.38780826624486,5.565375,0.0
1440.0,380.38780826624486,5.7307500000000005,0.0
1440.0,380.38780826624486,5.8961250000000005,0.0
1440.0,380.38780826624486,6.0615000000000006,0.0
1440.0,380.38780826624486,6.226875000000001,0.0
1440.0,380.38780826624486,6.392250000000001,0.0
1440.0,380.38780826624486,6.557625000000001,0.0
1440.0,380.38780826624486,6.723000000000001,0.0
1440.0,380.38780826624486,6.888375000000001,0.0
1440.0,380.38780826624486,7.053750000000001,0.0
1440.0,380.38780826624486,7.219125000000001,0.0
1440.0,380.38780826624486,7.384500000000001,0.0
1440.0,380.38780826624486,7.549875,0.0
1440.0,380.38780826624486,7.715250000000001,0.0
1440.0,380.38780826624486,7.880625,0.0
1440.0,380.38780826624486,8.046000000000001,0.0
1440.0,380.38780826624486,8.211375,0.0
1440.0,380.38780826624486,8.376750000000001,0.0
1440.0,380.38780826624486,8.542125,0.0
1440.0,380.38780826624486,8.707500000000001,0.0
1440.0,380.38780826624486,8.872875,0.0
1440.0,380.38780826624486,9.038250000000001,0.0
1440.0,380.38780826624486,9.203625,0.0
1440.0,380.38780826624486,9.369,0.0
1440.0,380.38780826624486,9.534375,0.0
1440.0,380.38780826624486,9.699750000000002,0.0
1440.0,380.38780826624486,9.865125,0.0
1440.0,380.38780826624486,10.0305,0.0
1440.0,380.38780826624486,10.195875000000001,0.0
1440.0,380.38780826624486,10.361250000000002,0.0
1440.0,380.38780826624486,10.526625000000001,0.0
1440.0,380.38780826624486,10.692,0.0
1440.0,380.38780826624486,10.857375000000001,0.0
1440.0,380.38780826624486,11.022750000000002,0.0
1440.0,380.38780826624486,11.188125000000001,0.0
1440.0,380.38780826624486,11.3535,0.0
1440.0,380.38780826624486,11.518875000000001,0.0
1440.0,380.38780826624486,11.684250000000002,0.0
1440.0,380.38780826624486,11.849625000000001,0.0
1440.0,380.38780826624486,12.015,0.0
1440.0,380.38780826624486,12.180375000000002,0.0
1440.0,380.38780826624486,12.345750000000002,0.0
1440.0,380.38780826624486,12.511125000000002,0.0
1440.0,380.38780826624486,12.6765,0.0
1440.0,380.38780826624486,12.841875000000002,0.0
1440.0,380.38780826624486,13.007250000000003,0.0
1440.0,380.38780826624486,13.172625000000002,0.0
1440.0,380.38780826624486,13.338000000000001,0.0
1440.0,380.38780826624486,13.503375000000002,0.0
1440.0,380.38780826624486,13.668750000000001,0.0
1440.0,380.38780826624486,13.834125000000002,0.0
1440.0,380.38780826624486,13.999500000000001,0.0
1440.0,380.38780826624486,14.164875000000002,0.0
1440.0,380.38780826624486,14.330250000000001,0.0
1440.0,380.38780826624486,14.495625000000002,0.0
1440.0,380.38780826624486,14.661000000000001,0.0
1440.0,380.38780826624486,14.826375000000002,0.0
1440.0,380.38780826624486,14.991750000000001,0.0
1440.0,380.38780826624486,15.157125000000002,0.0
1440.0,380.38780826624486,15.322500000000002,0.0
1440.0,380.38780826624486,15.487875000000003,0.0
1440.0,380.38780826624486,15.653250000000002,0.0
1440.0,380.38780826624486,15.818625000000003,0.0
1440.0,380.38780826624486,15.984000000000002,0.0
1440.0,380.38780826624486,16.149375,0.0
1440.0,380.38780826624486,16.314750000000004,0.0
1440.0,380.38780826624486,16.480125,0.0
1440.0,380.38780826624486,16.645500000000002,0.0
1440.0,380.38780826624486,16.810875000000003,0.0
1440.0,380.38780826624486,16.97625,0.0
1440.0,380.38780826624486,17.141625,0.0
1440.0,380.38780826624486,17.307000000000002,0.0
1440.0,380.38780826624486,17.472375,0.0
1440.0,380.38780826624486,17.637750000000004,0.0
1440.0,380.38780826624486,17.803125,0.0
1440.0,380.38780826624486,17.968500000000002,0.0
1440.0,380.38780826624486,18.133875000000003,0.0
1440.0,380.38780826624486,18.29925,0.0
1440.0,380.38780826624486,18.464625,0.0
1440.0,380.38780826624486,18.630000000000003,0.0
1440.0,380.38780826624486,18.795375,0.0
1440.0,380.38780826624486,18.960750000000004,0.0
1440.0,380.38780826624486,19.126125000000002,0.0
1440.0,380.38780826624486,19.291500000000003,0.0
1440.0,380.38780826624486,19.456875000000004,0.0
1440.0,380.38780826624486,19.62225,0.0
1440.0,380.38780826624486,19.787625000000002,0.0
1440.0,380.38780826624486,19.953000000000003,0.0
1440.0,380.38780826624486,20.118375,0.0
1440.0,380.38780826624486,20.283750000000005,0.0
1440.0,380.38780826624486,20.449125000000002,0.0
1440.0,380.38780826624486,20.614500000000003,0.0
1440.0,380.38780826624486,20.779875000000004,0.0
1440.0,380.38780826624486,20.94525,0.0
1440.0,380.38780826624486,21.110625000000002,0.0
1440.0,380.38780826624486,21.276000000000003,0.0
1440.0,380.38780826624486,21.441375,0.0
1440.0,380.38780826624486,21.606750000000005,0.0
