mediator_eV,K_Xe_200to270keV_per_alpha2,K_Xe_point_per_alpha2,K_D_soft_per_alpha2,D_per_Xe_raw_band_count,Xe_raw_at_alpha_reference,D_soft_at_alpha_reference,central_phase_at_alpha_reference,alpha_for_DP_comparator_exponent,central_phase_at_comparator_alpha,comparator_extrapolation_passes_phase_screen,D_at_central_phase_point_one,Xe_raw_at_comparator_alpha,soft_cutoff_40_to_80_relative_change
0.001,4.751460683468892e+20,6.384856307087529e+23,5.100869735899366e+23,1073.5371869215135,4.751460683468891e-20,5.100869735899366e-17,1.0543645536938363e-05,2.405322235956698e-13,253.60865058043444,False,4.588414448166123e-09,2.7489932423088126e-05,2.5087423281654384e-10
0.01,4.751460683468892e+20,6.384856307087529e+23,3.28510025382873e+23,691.387443288362,4.751460683468891e-20,3.28510025382873e-17,7.230464685850641e-06,2.997236885777704e-13,216.7141545774464,False,6.2837110917012e-09,4.268440945612599e-05,2.679755952503896e-10
0.1,4.751460683468892e+20,6.384856307087529e+23,1.4885337339984139e+23,313.2791857411903,4.751460683468891e-20,1.4885337339984137e-17,3.926625243115444e-06,4.4526241949428574e-13,174.83786561969208,False,9.654277388822552e-09,9.420180486080833e-05,8.369956047099753e-10
1.0,4.751460683468892e+20,6.384856307087529e+23,1.474724183090181e+22,31.037280561343746,4.751460683468891e-20,1.4747241830901809e-18,9.506544998351094e-07,1.414620611205511e-12,134.4815449602012,False,1.6317942015626794e-08,0.000950839254870171,7.358018916997475e-09
10.0,4.751460683468875e+20,6.384856307087506e+23,1.2927642043857773e+19,0.027207721804023758,4.7514606834688743e-20,1.2927642043857772e-21,2.178812702482281e-08,4.777885340667339e-11,104.1011727124988,False,2.7231998923427495e-08,1.084672393179942,7.260288911216748e-06
1000.0,4.751460683285816e+20,6.384856306860329e+23,143306836664.62677,3.0160585600284213e-10,4.751460683285816e-20,1.4330683666462676e-29,2.2017848700291154e-12,4.5379732107160316e-07,99.91640755952007,False,2.95608653634788e-08,97847784.23488712,0.001142637242428161
1000000.0,4.751277613223414e+20,6.38462911569537e+23,0.14330962456117086,3.0162334476588325e-22,4.7512776132234136e-20,1.4330962456117085e-41,2.2017871160278998e-18,0.45379290704100345,99.91553760677277,False,2.956138013162411e-08,9.784211081224833e+19,0.0011460129849004193
1000000000.0,1.164983453564341e+18,1.8447268919870759e+21,1.4330962456396044e-13,1.23014300439629e-31,1.1649834535643409e-22,1.4330962456396043e-53,2.201787116030147e-24,453792.90703658684,99.91553760590232,False,2.9561380132139186e-08,2.3990271551093116e+29,0.0011460129882847245
