E_keV,central_raw_m100,central_raw_m200,central_raw_m1000
5.4,0.018416222519286853,0.009567912006585322,0.001955515780046788
5.565375,0.019261594922060678,0.010019152812653224,0.00204911909839888
5.7307500000000005,0.020109772823660502,0.010472943618231353,0.0021433704192137053
5.8961250000000005,0.02095988747955881,0.010928840829671771,0.002238180216907494
6.0615000000000006,0.021811101741839707,0.01138641519235034,0.0023334616626573624
6.226875000000001,0.022662609317365835,0.011845251488810458,0.0024291305715477404
6.392250000000001,0.023513634039323602,0.012304948241824754,0.0025251053505163405
6.557625000000001,0.024363429151951884,0.012765117422308377,0.0026213069470896497
6.723000000000001,0.02521127660826205,0.013225384162018617,0.002717658798898055
6.888375000000001,0.026056486380558734,0.013685386470976033,0.0028140867839607903
7.053750000000001,0.026898395783573743,0.01414477495954326,0.0029105191717310385
7.219125000000001,0.027736368810027254,0.014603212565098268,0.003006886574891597
7.384500000000001,0.02856979547843256,0.015060374283239548,0.0031031219018916147
7.549875,0.029398091192963115,0.015515946903461524,0.003199160310215039
7.715250000000001,0.030220696115202797,0.015969628749239163,0.0032949391603714975
7.880625,0.03103707454760196,0.01642112942246146,0.0033903979706004254
8.046000000000001,0.03184671432846459,0.016870169552154125,0.0034854783722793868
8.211375,0.032649126238293365,0.017316480547432546,0.003580124066027583
8.376750000000001,0.03344384341732219,0.01775980435462686,0.003674280778495713
8.542125,0.03423042079406716,0.018199893218521453,0.0037678962198333488
8.707500000000001,0.03500843452472926,0.018636509447652112,0.0038609200418252033
8.872875,0.035777481443284374,0.019069425183604424,0.003953303796687648
9.038250000000001,0.036537178522097646,0.019498422174258095,0.004045000896517015
9.203625,0.03728716234290155,0.019923291550922047,0.004135966573381274
9.369,0.038027088577979276,0.02034383360930618,0.00422615784004678
9.534375,0.03875663148139608,0.020759857594276062,0.00431553345133184
9.699750000000002,0.03947548339012432,0.021171181488337583,0.004404053866079028
9.865125,0.040183354234909034,0.021577631803799315,0.004491681209738176
10.0305,0.04087997106072287,0.021979043378560548,0.004578379237552067
10.195875000000001,0.041565077556661764,0.022375259175474265,0.004664113298337043
10.361250000000002,0.042238433595133296,0.022766130085234024,0.00474885029885066
10.526625000000001,0.042899814780193175,0.0231515147327354,0.004832558668738789
10.692,0.043549012004885694,0.02353127928686216,0.004915208326054513
10.857375000000001,0.04418583101744641,0.023905297273648676,0.0049967706433413
11.022750000000002,0.04481009199622732,0.02427344939277034,0.005077218414273043
11.188125000000001,0.0454216291332061,0.02463562333731452,0.005156525820843595
11.3535,0.04602029022594314,0.02499171361678484,0.005234668401098555
11.518875000000001,0.046605936277851354,0.02534162138329251,0.00531162301740208
11.684250000000002,0.04717844110664625,0.02568525426088878,0.005387367825231671
11.849625000000001,0.047737690960844355,0.026022526177993034,0.0054618822424938145
12.015,0.048283584144181366,0.026353357202872203,0.005535146919353684
12.180375000000002,0.04881603064782086,0.026677673382126506,0.005607143708571843
12.345750000000002,0.04933495179022844,0.026995406582138545,0.00567785563634131
12.511125000000002,0.04984027986458625,0.027306494333442233,0.005747266873618212
12.6765,0.050331957793624614,0.027610879677968856,0.005815362707939359
12.841875000000002,0.05080993879175015,0.02790851101912837,0.005882129515720244
13.007250000000003,0.051274186034349724,0.028199341974684062,0.005947554735026907
13.172625000000002,0.05172467233415288,0.028483331232379817,0.006011626838815306
13.338000000000001,0.05216137982453538,0.028760442408278932,0.006074335308631807
13.503375000000002,0.052584299649649405,0.02903064390777494,0.006135670608768561
13.668750000000001,0.05299343166126621,0.02929390878923415,0.006195624160867527
13.834125000000002,0.05338878412222002,0.029550214630231657,0.00625418831896706
13.999500000000001,0.05377037341634164,0.029799543396341287,0.0063113563449849735
14.164875000000002,0.054138223764773605,0.03004188131244199,0.0063671223846320825
14.330250000000001,0.054492366948558704,0.03027721873650273,0.0064214814437503496
14.495625000000002,0.05483284203739597,0.030505550035808633,0.006474429365069721
14.661000000000001,0.055159695124459326,0.030726873465591692,0.006525962805377923
14.826375000000002,0.0554729790671759,0.030941191050029904,0.006576079213097482
14.991750000000001,0.05577275323386162,0.031148508465578692,0.006624776806264293
15.157125000000002,0.05605908325611408,0.03134883492659945,0.006672054550902201
15.322500000000002,0.05633204078686324,0.03154218307325019,0.0067179121397880045
15.487875000000003,0.056591703263982544,0.03172856886160391,0.006762349971601512
15.653250000000002,0.056838153679363644,0.03190801145596024,0.006805369130455161
15.818625000000003,0.05707148035336018,0.032080533123317365,0.0068469713657979565
15.984000000000002,0.05729177671450644,0.03224615912997039,0.006887159072688415
