E_keV,raw_per_keV_m100,raw_per_keV_m200,raw_per_keV_m1000
5.4,0.007400641722884573,0.0037003208614422864,0.0007400641722884575
5.565375,0.007759793351674674,0.003879896675837337,0.0007759793351674673
5.7307500000000005,0.008121853745679922,0.004060926872839961,0.0008121853745679922
5.8961250000000005,0.008486488739228146,0.004243244369614073,0.0008486488739228146
6.0615000000000006,0.008853373547362616,0.004426686773681308,0.0008853373547362616
6.226875000000001,0.009222192595661573,0.004611096297830786,0.0009222192595661571
6.392250000000001,0.009592639352416749,0.004796319676208374,0.0009592639352416747
6.557625000000001,0.009964416163143953,0.004982208081571977,0.0009964416163143954
6.723000000000001,0.010337234087399325,0.005168617043699662,0.0010337234087399326
6.888375000000001,0.01071081273787479,0.005355406368937395,0.001071081273787479
7.053750000000001,0.011084880121746838,0.005542440060873419,0.0011084880121746837
7.219125000000001,0.011459172484252796,0.005729586242126398,0.0011459172484252797
7.384500000000001,0.011833434154469023,0.0059167170772345115,0.0011833434154469023
7.549875,0.012207417393265769,0.006103708696632884,0.001220741739326577
7.715250000000001,0.012580882243413753,0.006290441121706876,0.0012580882243413752
7.880625,0.012953596381817516,0.006476798190908758,0.001295359638181752
8.046000000000001,0.013325334973851199,0.006662667486925599,0.00133253349738512
8.211375,0.013695880529772213,0.006847940264886106,0.0013695880529772215
8.376750000000001,0.014065022763188977,0.007032511381594489,0.001406502276318898
8.542125,0.014432558451558723,0.007216279225779361,0.0014432558451558722
8.707500000000001,0.014798291298691866,0.007399145649345933,0.0014798291298691866
8.872875,0.015162031799239532,0.007581015899619766,0.0015162031799239532
9.038250000000001,0.015523597105141167,0.007761798552570583,0.0015523597105141168
9.203625,0.015882810894009267,0.007941405447004633,0.0015882810894009265
9.369,0.016239503239428632,0.008119751619714316,0.0016239503239428635
9.534375,0.01659351048314761,0.008296755241573806,0.0016593510483147611
9.699750000000002,0.016944675109139138,0.008472337554569569,0.0016944675109139139
9.865125,0.017292845619509688,0.008646422809754844,0.001729284561950969
10.0305,0.017637876412234077,0.008818938206117038,0.0017637876412234079
10.195875000000001,0.01797962766069489,0.008989813830347445,0.001797962766069489
10.361250000000002,0.01831796519500485,0.009158982597502426,0.001831796519500485
10.526625000000001,0.018652760385091265,0.009326380192545633,0.0018652760385091266
10.692,0.01898389002552147,0.009491945012760735,0.0018983890025521472
10.857375000000001,0.019311236222048552,0.009655618111024276,0.001931123622204855
11.022750000000002,0.01963468627985689,0.009817343139928445,0.001963468627985689
11.188125000000001,0.019954132593487238,0.009977066296743619,0.0019954132593487236
11.3535,0.02026947253842115,0.010134736269210576,0.002026947253842115
11.518875000000001,0.020580608364304913,0.010290304182152456,0.0020580608364304913
11.684250000000002,0.02088744708979335,0.010443723544896675,0.0020887447089793353
11.849625000000001,0.02118990039899375,0.010594950199496874,0.0021189900398993753
12.015,0.02148788453949108,0.01074394226974554,0.0021487884539491083
