"source_head","mcp_tool_name","family","source_name_resolution","registration_sites","descriptor_state","evidence_capability_id","offer_disposition","installed_catalog_acceptance"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_reasoning_role_arbitrate","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:7675","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_reasoning_role_disposition","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:7605","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_reasoning_role_inspect","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:7562","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_reasoning_role_record","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:7475","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_semantic_wake_read","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:8953","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_server_pair_local","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3262|full_helix_mcp:server/mcp/helix-mcp-server.ts:8052","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_session_ready_up","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4607","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_source_pair_local","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3253|full_helix_mcp:server/mcp/helix-mcp-server.ts:7991","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_subject_list","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3159|full_helix_mcp:server/mcp/helix-mcp-server.ts:7195","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_subject_select","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3168|full_helix_mcp:server/mcp/helix-mcp-server.ts:7240","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_temporal_frontier_publish","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3135|full_helix_mcp:server/mcp/helix-mcp-server.ts:7290","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_environment_temporal_plan_submit","environment","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4779","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_evidence_observation_get","evidence","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:2723","joined","helix.mcp_evidence.observation.retrieve","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_local_supervisor_coordination_read","local","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5284","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_local_supervisor_presence_disconnect","local","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5388","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_local_supervisor_presence_update","local","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5276","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_local_supervisor_relay_acknowledge","local","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5363","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_local_supervisor_relay_publish","local","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5322","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_actor_status","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3303|full_helix_mcp:server/mcp/helix-mcp-server.ts:8319","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_custody_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:6958","joined","helix.minecraft.companion_custody_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_follow_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:6713","joined","helix.minecraft.companion_follow_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_mining_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:5904","joined","helix.minecraft.companion_mining_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_presence_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:6451","joined","helix.minecraft.companion_presence_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_room_custody_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:7035","joined","helix.minecraft.companion_room_custody_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_room_follow_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:6788","joined","helix.minecraft.companion_room_follow_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_room_mining_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:5961","joined","helix.minecraft.companion_room_mining_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_companion_room_presence_evidence_read","minecraft","resolved_constant_or_finite_template","full_helix_mcp:server/mcp/helix-mcp-server.ts:6536","joined","helix.minecraft.companion_room_presence_evidence.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_local_lifecycle_launch","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3288|full_helix_mcp:server/mcp/helix-mcp-server.ts:8166","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_player_action","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3312|full_helix_mcp:server/mcp/helix-mcp-server.ts:9398","joined","helix.minecraft.player_action.observe_result","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_situation_probe","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:8474","joined","helix.minecraft.situation.observe_result","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_workflow_control","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3341|full_helix_mcp:server/mcp/helix-mcp-server.ts:9625","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_minecraft_workflow_status","minecraft","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3332|full_helix_mcp:server/mcp/helix-mcp-server.ts:9574","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_public_ui_catalog","public","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:2520","joined","helix.public_ui.catalog.inspect","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_realtime_texture_pack_control","realtime","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4510","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_realtime_texture_pack_inspect","realtime","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4489","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_realtime_texture_pack_visual_direction_control","realtime","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4535","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_destination_register","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5261","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_pairing_accept","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5231","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_pairing_recover","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:5202","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_prompt_submit","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4862","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_steering_acknowledge","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4922","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_steering_read","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4885","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_reasoning_task_binding_claim","reasoning","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:4832","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_bind_run","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:9995","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_claim_chat_binding","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:10030","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_command_request","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:10124","gap","","unselected","not_run"
"256554ca2637b2978a83616d9f9670069fdfd8c4","helix_room_consent_grant","room","literal","full_helix_mcp:server/mcp/helix-mcp-server.ts:3067|full_helix_mcp:server/mcp/helix-mcp-server.ts:9886","gap","","unselected","not_run"
