"dist_public_relative_path","source_node_modules_path","package","package_version","package_license_label","package_license_file_sha256","bytes","sha256","source_same_sha256","staged_runtime_same_sha256"
"treesitter/tree-sitter-javascript.wasm","node_modules/tree-sitter-javascript/tree-sitter-javascript.wasm","tree-sitter-javascript","0.25.0","MIT","2e0110e07abef7c2548b26ec9d6969775617ca539a0dc8dbeeb14d6452c711d1","411770","5fb488d0cabb4775a594bab85682de5ad6ce83c0d6ac997a9f82dd084d571240","true","true"
"treesitter/tree-sitter-tsx.wasm","node_modules/tree-sitter-typescript/tree-sitter-tsx.wasm","tree-sitter-typescript","0.23.2","MIT","49bf33cf78ef5897e4e161ce1517df7de1ae5042a65b6bcfd44401e0fc606559","1445638","79e5da75ea62855a0cd67177685f0164eac87d5f630b3cbe1e0a099751ad30f8","true","true"
"treesitter/tree-sitter-typescript.wasm","node_modules/tree-sitter-typescript/tree-sitter-typescript.wasm","tree-sitter-typescript","0.23.2","MIT","49bf33cf78ef5897e4e161ce1517df7de1ae5042a65b6bcfd44401e0fc606559","1413849","778025db5a8be0e70f8ccc3671e486dfeddd048c25d9e8a70c26de2e1bf6f97d","true","true"
"treesitter/tree-sitter.wasm","node_modules/web-tree-sitter/tree-sitter.wasm","web-tree-sitter","0.25.10","MIT","5f9cf9fb6acb1972b35ae29119ce563bb60ec097656bc4b69b9bac2d04c7a147","205488","f38dcc4b43b818f9a0785bc1c6d5611a75ac4cdd428ff3f02757c34ca4e46d7f","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/abnfDiagram-U6D7WRMF.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/abnfDiagram-U6D7WRMF.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","2293","dafb69c3fb057e219f46a5ae1f2ef82086c197fcbf2c4fb2ceb787312be97d89","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/architecture-TIHT7OUA-V6N4J3SY.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/architecture-TIHT7OUA-V6N4J3SY.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","171","4ac3013dba07e4b82798d7dddda3601d1d98e338dcca6a5c5a5778b0fe6c50ce","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/architectureDiagram-CXLCLZGG.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/architectureDiagram-CXLCLZGG.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","155061","d7072ca3fdef2b2c69c36c92c0103c8bd483397c43b1904e33a268d5a640be8a","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/blockDiagram-BDH3CYR7.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/blockDiagram-BDH3CYR7.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","71865","a1557cb0f05e07dd8dc9626edbae5a02bd7947d50b40ecb7d9a394d1791a1959","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/c4Diagram-6Y6SKSDM.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/c4Diagram-6Y6SKSDM.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","70310","eb3c33b5d588dbdab4f7b52099fa6ae04d4ddef1310d811b30b2c4557a0aa510","true","true"
"vendor/mermaid/chunks/mermaid.esm.min/chunk-224SPVON.mjs","node_modules/mermaid/dist/chunks/mermaid.esm.min/chunk-224SPVON.mjs","mermaid","11.16.0","MIT","ec9fb67dcb25eccc416ed56e1aab819222c805a2a4bfe4cb19e7556bf2ffde80","550","106897ed01950fdb24ea92cbea810b72911f6566d4b2f4c0e684744d0f1370b4","true","true"
